District,Route Name,Beneficiary Villages,School Name,Bus Number
"Aravalli","BHILODA-DADHVAV","KANADAR /JAYALA /ZINZUDI /CHORIMALA /RAYSINGPURA /PARVATH /CHITHODA /SAMAIYA","SHREE SEVA VIDHYALAY CHITHODA","GJ-18-ZT-3458"
"Aravalli","BHILODA-DADHVAV","KANADAR /JAYALA /ZINZUDI /CHORIMALA /RAYSINGPURA /PARVATH /CHITHODA /SAMAIYA","PRAGATI VIDHYALAYA","GJ-18-ZT-3458"
"Aravalli","BHILODA-AAMBABAR , AAMBABAR-BHILODA , BHILODA-AAMBABAR , AAMBABAR-BHILODA","TAKATUKA/TORDA/PAHADA","N,R,A VIDHAYALAY  BHILODA","GJ-18-ZT-2570"
"Aravalli","BHILODA-ZANZARI , ZANZARI-BJHILODA , BHILODA-KUDOL , KUDOL-BHILODA","TAKATUKA/TORDA/KUSHALPURA/BAVALIYA","S.D.VYAS HIGH SCHOOL TAKATUKA","GJ-18-ZT-3322"
"Aravalli","BHILODA -BUDHARASAN , BUDHARASAN-BHILODA","TAKATUKA/TORDA/BUDHELI","S.D.VYAS HIGH SCHOOL TAKATUKA","GJ-18-ZT-3407"
"Aravalli","BHILODA-AAMBABAR , AAMBABAR-BHILODA , BHILODA-AAMBABAR , AAMBABAR-BHILODA","TAKATUKA/TORDA/PAHADA","S.D.VYAS HIGH SCHOOL TAKATUKA","GJ-18-ZT-2570"
"Aravalli","Moti Panduli - Kasana","Vaghpur, Lakhipur, Palla","Vishv Vatsaly Vidhyalay, Kasana","GJ-18-ZT-2973"
"Aravalli","Dhekva - Vaghpur","Dhekva, Moti Panduli, Chhinkari","Gram Jyoti Vidhyalay Vaghpur","GJ-18-Z-3308"
"Aravalli","KADVADI - CHHITADARA","Itava,Dhundhera, BT Chhapara, Ged, Navagam","SHRI CHHITADARA HIGHSCHOOL","GJ-18-Z-3308"
"Aravalli","KADVADI - CHHITADARA","Itava,Dhundhera, BT Chhapara, Ged, Navagam","SHRI CHHITADARA HIGHSCHOOL ","GJ-18-Z-3308"
"Aravalli","PANDVALA - RELLAVADA","GED, PANDVALA, RELLAVALA","SHREE GURUKRUPA VIDHYA VIHAR HIGHSCHOOL RELLAVADA ","GJ-18-Z-2773"
"Aravalli","DHHUNDHERA - RELLAVADA","DHHUNDHERA, B.T CHHAPARA, GED KAMPA, KADVADI, RELLAVADA","SHREE GURUKRUPA VIDHYA VIHAR HIGHSCHOOL RELLAVADA ","GJ-18-Z-2773"
"Aravalli","Chhinkari - Sisodara","Chhinkari, ramad, nanai panduli, moti mori, nal, jetpur jivanpur","SHRI JYOTI HIGH SCHOOL,SISODARA(A) ","GJ-18-Z-2973"
"Aravalli","Dhimada - Sisodara","dhekva, moti panduli, Chhinkari","SHRI JYOTI HIGH SCHOOL,SISODARA(A) ","GJ-18-Z-2973"
"Aravalli","BHILODA -BUDHARASAN , BUDHARASAN-BHILODA","TAKATUKA/TORDA/BUDHELI","ITI BHILODA","GJ-18-ZT-3407"
"Aravalli","BHILODA-ZANZARI , ZANZARI-BJHILODA , BHILODA-KUDOL , KUDOL-BHILODA","TAKATUKA/TORDA/KUSHALPURA/BAVALIYA","ITI BHILODA","GJ-18-ZT-3322"
"Aravalli","BHILODA-AAMBABAR , AAMBABAR-BHILODA , BHILODA-AAMBABAR , AAMBABAR-BHILODA","TAKATUKA/TORDA/PAHADA","ITI BHILODA","GJ-18-ZT-2570"
"Banaskantha","દાંતા થી જગતાપુરા","ધરેડા, સીયાવાડા, વશી, દીવડી, ખેરોજ, દાંતા,રતનપુર,પુંજપુર,વેલવાડા","મોડેલ સ્કૂલ દાંતા (જગતાપુરા)","GJ-18-ZT-3447"
"Bharuch","ભમાડીયા નાઇટ","ભમાડીયા, વાલીયા, મોખડી, નિકોલી","સાર્વજનિક ઉચ્ચતર માધ્યમિક શાળા ભમાડીયા","GJ 18 ZT 2860"
"Bharuch","અંકલેશ્વર ઘંતુરીયા
 ડે આઉટ","સજોદ, ઘંતુરીયા,
માટીએડ, તરીયા","શ્રી સજોદ સાર્વજનિક હાઈસ્કુલ","N/A"
"Bharuch","નેજા નાઇટ","દહેગામ, નેજા, સીગામ, નાડા","શ્રીમતી એસ એમ પટેલ હાઈસ્કૂલ સીગામ ","GJ 18 ZT 2961"
"Bharuch","અંકલેશ્વર નાઈટ","વાલિયા, ચમારીયા, વાગલખોડ, મીઠામોરા, ચોટલીયા ","સરકારી માધ્યમિક અને ઉચ્ચ માધ્યામિક  
શાળા ભિલોડ","GJ 18 ZT 2978"
"Bharuch","વણખુંટા ડે આઉટ","ઊંડી","શ્રી રંગ નવચેતન વિદ્યામંદિર જેસપોર","GJ 18 ZT 2808"
"Bharuch","ભરૂચ ઝગડીયા સીંગલ ડે આઉટ","ઝગડીયા, મોટાસાંજા, રાણીપુરા, ઉચેડીયા, ગુમાનદેવ, નાજાસાંજા, ગોવાલી, મુલદ","દિવાન ધનજીશા હાઇસ્કૂલ,ઝઘડિયા","GJ 18 ZT 2840"
"Chhotaudepur","Chhota udepur
alsipur-Puniyavant","chilarvat/malaja/akalbara/odd/zoz/alsipur/ambala/levhat/katarvat/gunata/bandia/motarampura/kollyathor","GOV.SEC.SCHOOL.AMBALA","(9) GJ-18-ZT-2642"
"Chhotaudepur","chhota udaypur 
ferkuva","runwad/dhamodi/devhat/levhat/chisadia/motisadli/nanisadli/rangpur/khadakwada/ferkuva","SMT MANIBEN PATEL GIRLS HIGHSCHOOL","(18) GJ-18-ZT-2900"
"Chhotaudepur","Chhotaudepur
Halol-Gunata","runwant/surkheda/dhamodi/ammbala/devhat/levhat/katarwant/koliyathor/gunnata/kol/balawant/bandala","SMT MANIBEN PATEL GIRLS HIGHSCHOOL","(5) GJ-18-ZT-2946"
"Chhotaudepur","Chhota udepur
alsipur-Puniyavant","chilarvat/malaja/akalbara/odd/zoz/alsipur/ambala/levhat/katarvat/gunata/bandia/motarampura/kollyathor","SMT MANIBEN PATEL GIRLS HIGHSCHOOL","(9) GJ-18-ZT-2642"
"Chhotaudepur","chhota udaypur 
ferkuva rampura","runwad/surkheda/devhat/motisadli/rangpur/khadwada/bhordali/rampura/hamirpura/gozariya/khatiyant/asar/chavariya/panvad(chho,pur)","SMT MANIBEN PATEL GIRLS HIGHSCHOOL","(15) GJ-18-ZT-2677"
"Chhotaudepur","chhotaudepur 
rendha night","singla/luni/panvad/karajwant/bhumaswada/roadha/
rumadia/aamsota/samalwant/gozariya","SMT MANIBEN PATEL GIRLS HIGHSCHOOL","(19) GJ-18-ZT-2610"
"Chhotaudepur","Chhota udepur-Ghoghadev"," vanar/dadigam/koli/atroli/ghoghadev/akalbara/malaja/oad/alshi pur/jamli","SMT MANIBEN PATEL GIRLS HIGHSCHOOL","(8) GJ-18-ZT-2780"
"Chhotaudepur","Chhotaudepur
ukhalvant","vanar/zer/drigam/chamduvat/atroli/koli/ukhalvat","SMT MANIBEN PATEL GIRLS HIGHSCHOOL","(7) GJ-18-ZT-2823"
"Chhotaudepur","Chhotaudepur
pavi-harvant","piplej/nalej/olyamba/padharwant/chacher/raysingpura/dharmej/maldi/vardi/harwant/amroli/aniyadri/ratanpur/jetpur/pavi","SMT MANIBEN PATEL GIRLS HIGHSCHOOL","(1) GJ-18-ZT-2537"
"Chhotaudepur","Chhota udepur
kothara","chilarwant/khajuriya/odd/zoz/fangiya/pachiyasal/zamran/kakadkund/singalaja/mithibor/dhorkuwa/gadola/mad/kothara","SMT MANIBEN PATEL GIRLS HIGHSCHOOL","(6) GJ-18-ZT-2581"
"Chhotaudepur","Chhotaudepur
Goyavant","singla/panvad/karjvat/dungarvat/kavat/aathadungri/vagach/bhakha/nasvadi/tankhla/katkuva","SMT MANIBEN PATEL GIRLS HIGHSCHOOL","(3) GJ-18-ZT-2842"
"Chhotaudepur","chhota udaypur 
ferkuva khatiyavant","surkheda/dhamodi/ambala/devhat/rangpur/jodavat/ferkuva/kavat/hamirpura/chavriya/asar/panvad","SMT MANIBEN PATEL GIRLS HIGHSCHOOL","(12) GJ-18-ZT-2758"
"Chhotaudepur","Chhotaudepur
Nasvadi","piplej/singla/panvad/karajwant/dungarwat/kawant/motisadhli/dewat/aathadungri/wagach/bhakha/boriyad/naswadi/asar/chavariya/rangpur","SMT MANIBEN PATEL GIRLS HIGHSCHOOL","(2) GJ-18-ZT-2767"
